Added 6331; Current median 6331; running total 6331
Added 3382; Current median 3912; running total 8075
Added 8375; Current median 3932; running total 2007
Added 8279; Current median 3932; running total 5939
Added 1500; Current median 3932; running total 9871
Added 3355; Current median 3912; running total 3783
Added 6867; Current median 3932; running total 7715
Added 3428; Current median 3912; running total 1627
Added 5884; Current median 3932; running total 5559
Added 2852; Current median 3912; running total 9471
Added 3303; Current median 3912; running total 3383
Added 8222; Current median 3912; running total 7295
Added 6459; Current median 3932; running total 1227
Added 1341; Current median 3912; running total 5139
Added 9435; Current median 3932; running total 9071
Added 4676; Current median 3932; running total 3003
Added 2491; Current median 3932; running total 6935
Added 5789; Current median 3932; running total 867
Added 5583; Current median 4135; running total 5002
Added 1952; Current median 3932; running total 8934
Added 3788; Current median 3932; running total 2866
Added 4883; Current median 3932; running total 6798
Added 3072; Current median 3932; running total 730
Added 282; Current median 3912; running total 4642
Added 8285; Current median 3932; running total 8574
Added 414; Current median 3912; running total 2486
Added 6042; Current median 3932; running total 6418
Added 7163; Current median 3932; running total 350
Added 7708; Current median 4135; running total 4485
Added 1420; Current median 3932; running total 8417
Added 2919; Current median 3932; running total 2349
Added 9490; Current median 3932; running total 6281
Added 7811; Current median 4135; running total 416
Added 1763; Current median 3932; running total 4348
Added 3716; Current median 3932; running total 8280
Added 6223; Current median 3932; running total 2212
Added 2367; Current median 3932; running total 6144
Added 1866; Current median 3912; running total 56
Added 4164; Current median 3932; running total 3988
Added 2591; Current median 3912; running total 7900
Added 3518; Current median 3912; running total 1812
Added 8348; Current median 3912; running total 5724
Added 8997; Current median 3932; running total 9656
Added 388; Current median 3912; running total 3568
Added 7196; Current median 3932; running total 7500
Added 5752; Current median 3932; running total 1432
Added 4537; Current median 4135; running total 5567
Added 3091; Current median 3932; running total 9499
Added 2960; Current median 3932; running total 3431
Added 1781; Current median 3912; running total 7343
Added 6785; Current median 3932; running total 1275
Added 4315; Current median 3932; running total 5207
Added 286; Current median 3932; running total 9139
Added 7838; Current median 3932; running total 3071
Added 6153; Current median 4135; running total 7206
Added 5852; Current median 4135; running total 1341
Added 9759; Current median 4154; running total 5495
Added 8183; Current median 4154; running total 9649
Added 6972; Current median 4164; running total 3813
Added 1000; Current median 4154; running total 7967
Added 7405; Current median 4164; running total 2131
Added 6653; Current median 4164; running total 6295
Added 2335; Current median 4164; running total 459
Added 9083; Current median 4164; running total 4623
Added 1687; Current median 4164; running total 8787
Added 9673; Current median 4164; running total 2951
Added 2478; Current median 4164; running total 7115
Added 2425; Current median 4154; running total 1269
Added 5561; Current median 4164; running total 5433
Added 6291; Current median 4164; running total 9597
Added 9180; Current median 4181; running total 3778
Added 7487; Current median 4181; running total 7959
Added 4528; Current median 4200; running total 2159
Added 6974; Current median 4200; running total 6359
Added 5364; Current median 4292; running total 651
Added 4015; Current median 4200; running total 4851
Added 6456; Current median 4292; running total 9143
Added 6947; Current median 4292; running total 3435
Added 4625; Current median 4315; running total 7750
Added 4705; Current median 4315; running total 2065
Added 3377; Current median 4315; running total 6380
Added 4148; Current median 4292; running total 672
Added 9007; Current median 4315; running total 4987
Added 6985; Current median 4315; running total 9302
Added 9185; Current median 4479; running total 3781
Added 3345; Current median 4315; running total 8096
Added 169; Current median 4315; running total 2411
Added 6074; Current median 4315; running total 6726
Added 5854; Current median 4479; running total 1205
Added 1056; Current median 4315; running total 5520
Added 4155; Current median 4315; running total 9835
Added 4615; Current median 4315; running total 4150
Added 7211; Current median 4479; running total 8629
Added 4351; Current median 4351; running total 2980
Added 7809; Current median 4479; running total 7459
Added 4289; Current median 4351; running total 1810
Added 3432; Current median 4351; running total 6161
Added 5710; Current median 4351; running total 512
Added 548; Current median 4351; running total 4863
Added 3412; Current median 4315; running total 9178
Added 2702; Current median 4315; running total 3493
Added 5915; Current median 4315; running total 7808
Added 3312; Current median 4315; running total 2123
Added 5516; Current median 4315; running total 6438
Added 3811; Current median 4315; running total 753
Added 2197; Current median 4292; running total 5045
Added 1642; Current median 4292; running total 9337
Added 7225; Current median 4292; running total 3629
Added 7390; Current median 4315; running total 7944
Added 6238; Current median 4315; running total 2259
Added 1764; Current median 4315; running total 6574
Added 5654; Current median 4315; running total 889
Added 1436; Current median 4315; running total 5204
Added 2572; Current median 4292; running total 9496
Added 714; Current median 4292; running total 3788
Added 3087; Current median 4289; running total 8077
Added 247; Current median 4289; running total 2366
Added 8423; Current median 4289; running total 6655
Added 5109; Current median 4292; running total 947
Added 257; Current median 4289; running total 5236
Added 2009; Current median 4289; running total 9525
Added 2447; Current median 4200; running total 3725
Added 8364; Current median 4289; running total 8014
Added 805; Current median 4200; running total 2214
Added 3260; Current median 4200; running total 6414
Added 1938; Current median 4181; running total 595
Added 6035; Current median 4200; running total 4795
Added 4229; Current median 4200; running total 8995
Added 7775; Current median 4229; running total 3224
Added 3372; Current median 4200; running total 7424
Added 1220; Current median 4200; running total 1624
Added 8608; Current median 4200; running total 5824
Added 2468; Current median 4200; running total 24
Added 820; Current median 4181; running total 4205
Added 7729; Current median 4200; running total 8405
Added 5933; Current median 4200; running total 2605
Added 1334; Current median 4200; running total 6805
Added 2267; Current median 4181; running total 986
Added 3841; Current median 4181; running total 5167
Added 1677; Current median 4164; running total 9331
Added 7747; Current median 4181; running total 3512
Added 9642; Current median 4181; running total 7693
Added 1178; Current median 4181; running total 1874
Added 762; Current median 4164; running total 6038
Added 5214; Current median 4181; running total 219
Added 281; Current median 4164; running total 4383
Added 1154; Current median 4164; running total 8547
Added 9711; Current median 4164; running total 2711
Added 9915; Current median 4181; running total 6892
Added 2124; Current median 4164; running total 1056
Added 6697; Current median 4181; running total 5237
Added 1548; Current median 4164; running total 9401
Added 7017; Current median 4181; running total 3582
Added 6784; Current median 4181; running total 7763
Added 6027; Current median 4200; running total 1963
Added 6004; Current median 4200; running total 6163
Added 5335; Current median 4229; running total 392
Added 5018; Current median 4229; running total 4621
Added 4194; Current median 4229; running total 8850
Added 620; Current median 4200; running total 3050
Added 5462; Current median 4229; running total 7279
Added 4352; Current median 4229; running total 1508
Added 9200; Current median 4289; running total 5797
Added 3296; Current median 4229; running total 26
Added 7408; Current median 4289; running total 4315
Added 8554; Current median 4289; running total 8604
Added 9359; Current median 4292; running total 2896
Added 1578; Current median 4289; running total 7185
Added 2481; Current median 4289; running total 1474
Added 496; Current median 4229; running total 5703
Added 4368; Current median 4289; running total 9992
Added 3948; Current median 4229; running total 4221
Added 9148; Current median 4289; running total 8510
Added 1214; Current median 4229; running total 2739
Added 4348; Current median 4289; running total 7028
Added 3366; Current median 4229; running total 1257
Added 7673; Current median 4289; running total 5546
Added 1721; Current median 4229; running total 9775
Added 5253; Current median 4289; running total 4064
Added 2228; Current median 4229; running total 8293
Added 9927; Current median 4289; running total 2582
Added 3690; Current median 4229; running total 6811
Added 4159; Current median 4229; running total 1040
Added 240; Current median 4200; running total 5240
Added 5218; Current median 4229; running total 9469
Added 939; Current median 4200; running total 3669
Added 6275; Current median 4229; running total 7898
Added 4807; Current median 4229; running total 2127
Added 4774; Current median 4289; running total 6416
Added 936; Current median 4229; running total 645
Added 2980; Current median 4229; running total 4874
Added 301; Current median 4200; running total 9074
Added 2625; Current median 4200; running total 3274
Added 8674; Current median 4200; running total 7474
Added 6863; Current median 4229; running total 1703
Added 2108; Current median 4200; running total 5903
Added 4466; Current median 4229; running total 132
Added 6346; Current median 4229; running total 4361
Added 5193; Current median 4289; running total 8650
Added 8775; Current median 4289; running total 2939
Added 5247; Current median 4292; running total 7231
Added 631; Current median 4289; running total 1520
Added 9256; Current median 4292; running total 5812
Added 4561; Current median 4292; running total 104
Added 3489; Current median 4292; running total 4396
Added 5787; Current median 4292; running total 8688
Added 1797; Current median 4292; running total 2980
Added 251; Current median 4289; running total 7269
Added 3095; Current median 4289; running total 1558
Added 2239; Current median 4229; running total 5787
Added 1955; Current median 4229; running total 16
Added 780; Current median 4200; running total 4216
Added 9176; Current median 4229; running total 8445
Added 267; Current median 4200; running total 2645
Added 654; Current median 4200; running total 6845
Added 3894; Current median 4194; running total 1039
Added 7963; Current median 4200; running total 5239
Added 6660; Current median 4200; running total 9439
Added 1230; Current median 4200; running total 3639
Added 1464; Current median 4194; running total 7833
Added 5387; Current median 4200; running total 2033
Added 9216; Current median 4200; running total 6233
Added 4239; Current median 4229; running total 462
Added 5032; Current median 4229; running total 4691
Added 9845; Current median 4239; running total 8930
Added 4108; Current median 4229; running total 3159
Added 1428; Current median 4229; running total 7388
Added 1087; Current median 4200; running total 1588
Added 1252; Current median 4200; running total 5788
Added 6023; Current median 4200; running total 9988
Added 8704; Current median 4229; running total 4217
Added 9871; Current median 4229; running total 8446
Added 8718; Current median 4239; running total 2685
Added 2803; Current median 4229; running total 6914
Added 7343; Current median 4239; running total 1153
Added 8201; Current median 4239; running total 5392
Added 970; Current median 4239; running total 9631
Added 5489; Current median 4239; running total 3870
Added 9663; Current median 4289; running total 8159
Added 7674; Current median 4289; running total 2448
Added 4133; Current median 4289; running total 6737
Added 4178; Current median 4239; running total 976
Added 8527; Current median 4289; running total 5265
Added 3093; Current median 4239; running total 9504
Added 921; Current median 4239; running total 3743
Added 2780; Current median 4229; running total 7972
Added 4448; Current median 4239; running total 2211
Added 8024; Current median 4239; running total 6450
Added 1166; Current median 4239; running total 689
Added 3146; Current median 4229; running total 4918
Added 6564; Current median 4239; running total 9157
Added 3526; Current median 4229; running total 3386
Added 4006; Current median 4229; running total 7615
Added 8030; Current median 4229; running total 1844
Added 485; Current median 4229; running total 6073
Added 2926; Current median 4200; running total 273
Added 9925; Current median 4229; running total 4502
Added 3950; Current median 4200; running total 8702
Added 5694; Current median 4229; running total 2931
Added 4038; Current median 4200; running total 7131
Added 15; Current median 4200; running total 1331
Added 934; Current median 4194; running total 5525
Added 1112; Current median 4194; running total 9719
Added 9959; Current median 4194; running total 3913
Added 4714; Current median 4200; running total 8113
Added 5264; Current median 4200; running total 2313
Added 5130; Current median 4229; running total 6542
Added 2081; Current median 4200; running total 742
Added 5055; Current median 4229; running total 4971
Added 2139; Current median 4200; running total 9171
Added 9931; Current median 4229; running total 3400
Added 9178; Current median 4229; running total 7629
Added 1343; Current median 4229; running total 1858
Added 9768; Current median 4229; running total 6087
Added 7584; Current median 4239; running total 326
Added 114; Current median 4229; running total 4555
Added 1015; Current median 4229; running total 8784
Added 5817; Current median 4229; running total 3013
Added 5903; Current median 4239; running total 7252
Added 9574; Current median 4239; running total 1491
Added 1348; Current median 4239; running total 5730
Added 8451; Current median 4239; running total 9969
Added 2320; Current median 4239; running total 4208
Added 2067; Current median 4229; running total 8437
Added 8479; Current median 4239; running total 2676
Added 8191; Current median 4239; running total 6915
Added 4470; Current median 4289; running total 1204
Added 1101; Current median 4239; running total 5443
Added 6924; Current median 4289; running total 9732
Added 7464; Current median 4289; running total 4021
Added 9353; Current median 4292; running total 8313
Added 4231; Current median 4289; running total 2602
Added 4249; Current median 4289; running total 6891
Added 763; Current median 4249; running total 1140
Added 448; Current median 4249; running total 5389
Added 6364; Current median 4249; running total 9638
Added 6547; Current median 4289; running total 3927
Added 1592; Current median 4249; running total 8176
Added 5303; Current median 4289; running total 2465
Added 4678; Current median 4289; running total 6754
Added 2304; Current median 4289; running total 1043
Added 3662; Current median 4249; running total 5292
Added 2098; Current median 4249; running total 9541
Added 945; Current median 4239; running total 3780
Added 6994; Current median 4249; running total 8029
Added 7111; Current median 4249; running total 2278
Added 428; Current median 4249; running total 6527
Added 8386; Current median 4249; running total 776
Added 983; Current median 4249; running total 5025
Added 226; Current median 4239; running total 9264
Added 7709; Current median 4249; running total 3513
Added 924; Current median 4239; running total 7752
Added 8568; Current median 4249; running total 2001
Added 754; Current median 4239; running total 6240
Added 583; Current median 4239; running total 479
Added 901; Current median 4231; running total 4710
Added 8284; Current median 4239; running total 8949
Added 8668; Current median 4239; running total 3188
Added 5325; Current median 4249; running total 7437
Added 7907; Current median 4249; running total 1686
Added 1689; Current median 4249; running total 5935
Added 8634; Current median 4249; running total 184
Added 3956; Current median 4249; running total 4433
Added 2306; Current median 4239; running total 8672
Added 8228; Current median 4249; running total 2921
Added 5862; Current median 4249; running total 7170
Added 4949; Current median 4289; running total 1459
Added 2951; Current median 4249; running total 5708
Added 1452; Current median 4249; running total 9957
Added 6281; Current median 4249; running total 4206
Added 845; Current median 4249; running total 8455
Added 9154; Current median 4249; running total 2704
Added 1614; Current median 4249; running total 6953
Added 1577; Current median 4239; running total 1192
Added 2113; Current median 4239; running total 5431
Added 8640; Current median 4239; running total 9670
Added 1396; Current median 4239; running total 3909
Added 7913; Current median 4239; running total 8148
Added 3418; Current median 4239; running total 2387
Added 7830; Current median 4239; running total 6626
Added 9957; Current median 4249; running total 875
Added 3034; Current median 4239; running total 5114
Added 1193; Current median 4239; running total 9353
Added 3847; Current median 4231; running total 3584
Added 3258; Current median 4231; running total 7815
Added 4232; Current median 4231; running total 2046
Added 9963; Current median 4232; running total 6278
Added 4504; Current median 4232; running total 510
Added 4357; Current median 4239; running total 4749
Added 120; Current median 4232; running total 8981
Added 8560; Current median 4239; running total 3220
Added 1829; Current median 4232; running total 7452
Added 8381; Current median 4239; running total 1691
Added 3399; Current median 4232; running total 5923
Added 9405; Current median 4239; running total 162
Added 1846; Current median 4232; running total 4394
Added 8843; Current median 4239; running total 8633
Added 6742; Current median 4239; running total 2872
Added 4157; Current median 4239; running total 7111
Added 7643; Current median 4239; running total 1350
Added 7061; Current median 4249; running total 5599
Added 551; Current median 4239; running total 9838
Added 6345; Current median 4249; running total 4087
Added 8786; Current median 4249; running total 8336
Added 1743; Current median 4249; running total 2585
Added 8958; Current median 4249; running total 6834
Added 4016; Current median 4249; running total 1083
Added 3830; Current median 4239; running total 5322
Added 386; Current median 4239; running total 9561
Added 3464; Current median 4232; running total 3793
Added 3687; Current median 4232; running total 8025
Added 1065; Current median 4231; running total 2256
Added 4277; Current median 4232; running total 6488
Added 5001; Current median 4232; running total 720
Added 7046; Current median 4239; running total 4959
Added 5220; Current median 4239; running total 9198
Added 3401; Current median 4239; running total 3437
Added 765; Current median 4232; running total 7669
Added 5376; Current median 4239; running total 1908
Added 5439; Current median 4239; running total 6147
Added 9592; Current median 4249; running total 396
Added 2338; Current median 4239; running total 4635
Added 1392; Current median 4239; running total 8874
Added 8384; Current median 4239; running total 3113
Added 6580; Current median 4249; running total 7362
Added 1131; Current median 4239; running total 1601
Added 594; Current median 4239; running total 5840
Added 7009; Current median 4239; running total 79
Added 6128; Current median 4249; running total 4328
Added 5512; Current median 4249; running total 8577
Added 522; Current median 4249; running total 2826
Added 593; Current median 4239; running total 7065
Added 3453; Current median 4239; running total 1304
Added 160; Current median 4232; running total 5536
Added 8852; Current median 4239; running total 9775
Added 7645; Current median 4239; running total 4014
Added 7477; Current median 4249; running total 8263
Added 3326; Current median 4239; running total 2502
Added 1871; Current median 4239; running total 6741
Added 4312; Current median 4239; running total 980
Added 9901; Current median 4249; running total 5229
Added 5337; Current median 4249; running total 9478
Added 7932; Current median 4277; running total 3755
Added 7096; Current median 4277; running total 8032
Added 1239; Current median 4277; running total 2309
Added 9910; Current median 4277; running total 6586
Added 7661; Current median 4289; running total 875
Added 7447; Current median 4289; running total 5164
Added 888; Current median 4289; running total 9453
Added 4925; Current median 4289; running total 3742
Added 8638; Current median 4292; running total 8034
Added 1980; Current median 4289; running total 2323
Added 8589; Current median 4292; running total 6615
Added 140; Current median 4289; running total 904
Added 3311; Current median 4289; running total 5193
Added 7421; Current median 4289; running total 9482
Added 4514; Current median 4292; running total 3774
Added 9482; Current median 4292; running total 8066
Added 5428; Current median 4312; running total 2378
Added 184; Current median 4292; running total 6670
Added 339; Current median 4292; running total 962
Added 2735; Current median 4289; running total 5251
Added 8509; Current median 4292; running total 9543
Added 3930; Current median 4289; running total 3832
Added 9731; Current median 4292; running total 8124
Added 2252; Current median 4289; running total 2413
Added 500; Current median 4289; running total 6702
Added 4637; Current median 4289; running total 991
Added 2785; Current median 4289; running total 5280
Added 7626; Current median 4289; running total 9569
Added 6184; Current median 4292; running total 3861
Added 1869; Current median 4289; running total 8150
Added 9687; Current median 4292; running total 2442
Added 2163; Current median 4289; running total 6731
Added 2332; Current median 4289; running total 1020
Added 2069; Current median 4277; running total 5297
Added 8706; Current median 4289; running total 9586
Added 4424; Current median 4289; running total 3875
Added 883; Current median 4289; running total 8164
Added 9534; Current median 4289; running total 2453
Added 6282; Current median 4292; running total 6745
Added 2466; Current median 4289; running total 1034
Added 8530; Current median 4292; running total 5326
Added 5071; Current median 4292; running total 9618
Added 6926; Current median 4312; running total 3930
Added 3014; Current median 4292; running total 8222
Added 711; Current median 4292; running total 2514
Added 4672; Current median 4292; running total 6806
Added 5362; Current median 4312; running total 1118
Added 3556; Current median 4292; running total 5410
Added 5621; Current median 4312; running total 9722
Added 5705; Current median 4312; running total 4034
Added 7508; Current median 4315; running total 8349
Added 3925; Current median 4312; running total 2661
Added 6054; Current median 4315; running total 6976
Added 3816; Current median 4312; running total 1288
Added 1749; Current median 4312; running total 5600
Added 2357; Current median 4292; running total 9892
Added 9047; Current median 4312; running total 4204
Added 942; Current median 4292; running total 8496
Added 6414; Current median 4312; running total 2808
Added 2840; Current median 4292; running total 7100
Added 7566; Current median 4312; running total 1412
Added 1198; Current median 4292; running total 5704
Added 1861; Current median 4292; running total 9996
Added 753; Current median 4289; running total 4285
Added 5378; Current median 4292; running total 8577
Added 1530; Current median 4289; running total 2866
Added 1598; Current median 4289; running total 7155
Added 3803; Current median 4277; running total 1432
Added 2448; Current median 4277; running total 5709
Added 9202; Current median 4277; running total 9986
Added 1172; Current median 4277; running total 4263
Added 2133; Current median 4249; running total 8512
Added 1584; Current median 4249; running total 2761
Added 4183; Current median 4239; running total 7000
Added 7933; Current median 4249; running total 1249
Added 3245; Current median 4239; running total 5488
Added 2327; Current median 4239; running total 9727
Added 8141; Current median 4239; running total 3966
Added 2459; Current median 4239; running total 8205
Added 5417; Current median 4239; running total 2444
Added 7858; Current median 4249; running total 6693
Added 1624; Current median 4239; running total 932
Added 8882; Current median 4249; running total 5181
Added 7031; Current median 4249; running total 9430
Added 6684; Current median 4277; running total 3707
Added 385; Current median 4249; running total 7956
Added 331; Current median 4249; running total 2205
Added 5996; Current median 4249; running total 6454
Added 5031; Current median 4277; running total 731
Added 9116; Current median 4277; running total 5008
Added 321; Current median 4277; running total 9285
Added 1944; Current median 4249; running total 3534
Added 952; Current median 4249; running total 7783
Added 4068; Current median 4239; running total 2022
Added 6886; Current median 4249; running total 6271
Added 8564; Current median 4249; running total 520
Added 7424; Current median 4277; running total 4797
Added 7386; Current median 4277; running total 9074
Added 2553; Current median 4277; running total 3351
Added 9049; Current median 4277; running total 7628
Added 1847; Current median 4277; running total 1905
Added 9924; Current median 4277; running total 6182
Added 7681; Current median 4289; running total 471
Added 2976; Current median 4277; running total 4748
Added 4170; Current median 4277; running total 9025
Added 9486; Current median 4277; running total 3302
Added 7184; Current median 4289; running total 7591
Added 7698; Current median 4289; running total 1880
Added 1307; Current median 4289; running total 6169
Added 4501; Current median 4289; running total 458
Added 1213; Current median 4289; running total 4747
Added 495; Current median 4277; running total 9024
Added 9227; Current median 4289; running total 3313
Added 2120; Current median 4277; running total 7590
Added 4462; Current median 4289; running total 1879
Added 4658; Current median 4289; running total 6168
Added 5979; Current median 4292; running total 460
Added 1203; Current median 4289; running total 4749
Added 8236; Current median 4292; running total 9041
Added 4308; Current median 4292; running total 3333
Added 1784; Current median 4292; running total 7625
Added 9705; Current median 4292; running total 1917
Added 5755; Current median 4308; running total 6225
Added 4703; Current median 4308; running total 533
Added 3201; Current median 4308; running total 4841
Added 7624; Current median 4308; running total 9149
Added 3678; Current median 4308; running total 3457
Added 91; Current median 4292; running total 7749
Added 4468; Current median 4308; running total 2057
Added 1479; Current median 4292; running total 6349
Added 9546; Current median 4308; running total 657
Added 6470; Current median 4308; running total 4965
Added 4429; Current median 4312; running total 9277
Added 9114; Current median 4312; running total 3589
Added 4884; Current median 4315; running total 7904
Added 1457; Current median 4312; running total 2216
Added 8562; Current median 4315; running total 6531
Added 9890; Current median 4315; running total 846
Added 8416; Current median 4348; running total 5194
Added 7336; Current median 4348; running total 9542
Added 2342; Current median 4348; running total 3890
Added 4818; Current median 4348; running total 8238
Added 6583; Current median 4351; running total 2589
Added 2194; Current median 4348; running total 6937
Added 4639; Current median 4351; running total 1288
Added 5930; Current median 4351; running total 5639
Added 788; Current median 4351; running total 9990
Added 8862; Current median 4351; running total 4341
Added 1819; Current median 4351; running total 8692
Added 8278; Current median 4351; running total 3043
Added 4633; Current median 4352; running total 7395
Added 4821; Current median 4352; running total 1747
Added 1992; Current median 4352; running total 6099
Added 3680; Current median 4351; running total 450
Added 574; Current median 4351; running total 4801
Added 6075; Current median 4351; running total 9152
Added 584; Current median 4351; running total 3503
Added 910; Current median 4348; running total 7851
Added 2972; Current median 4348; running total 2199
Added 1440; Current median 4315; running total 6514
Added 417; Current median 4315; running total 829
Added 3122; Current median 4312; running total 5141
Added 2959; Current median 4312; running total 9453
Added 8544; Current median 4312; running total 3765
Added 8552; Current median 4315; running total 8080
Added 6943; Current median 4315; running total 2395
Added 5544; Current median 4348; running total 6743
Added 4737; Current median 4348; running total 1091
Added 4473; Current median 4351; running total 5442
Added 1333; Current median 4348; running total 9790
Added 4761; Current median 4351; running total 4141
Added 810; Current median 4348; running total 8489
Added 2901; Current median 4348; running total 2837
Added 1976; Current median 4315; running total 7152
Added 4417; Current median 4348; running total 1500
Added 3068; Current median 4315; running total 5815
Added 986; Current median 4315; running total 130
Added 5964; Current median 4315; running total 4445
Added 2516; Current median 4315; running total 8760
Added 6122; Current median 4315; running total 3075
Added 4754; Current median 4348; running total 7423
Added 2433; Current median 4315; running total 1738
Added 8436; Current median 4348; running total 6086
Added 877; Current median 4315; running total 401
Added 3876; Current median 4315; running total 4716
Added 5476; Current median 4315; running total 9031
Added 7878; Current median 4348; running total 3379
Added 1066; Current median 4315; running total 7694
Added 1311; Current median 4315; running total 2009
Added 5061; Current median 4315; running total 6324
Added 6208; Current median 4348; running total 672
Added 462; Current median 4315; running total 4987
Added 2524; Current median 4315; running total 9302
Added 170; Current median 4312; running total 3614
Added 5027; Current median 4315; running total 7929
Added 7434; Current median 4315; running total 2244
Added 9420; Current median 4348; running total 6592
Added 639; Current median 4315; running total 907
Added 2251; Current median 4315; running total 5222
Added 3915; Current median 4312; running total 9534
Added 372; Current median 4312; running total 3846
Added 4706; Current median 4312; running total 8158
Added 8610; Current median 4315; running total 2473
Added 7695; Current median 4315; running total 6788
Added 6143; Current median 4348; running total 1136
Added 2313; Current median 4315; running total 5451
Added 7143; Current median 4348; running total 9799
Added 9446; Current median 4348; running total 4147
Added 3109; Current median 4348; running total 8495
Added 6626; Current median 4348; running total 2843
Added 353; Current median 4348; running total 7191
Added 3344; Current median 4315; running total 1506
Added 2191; Current median 4315; running total 5821
Added 4273; Current median 4312; running total 133
Added 8774; Current median 4315; running total 4448
Added 1574; Current median 4312; running total 8760
Added 9062; Current median 4315; running total 3075
Added 1690; Current median 4312; running total 7387
Added 4100; Current median 4312; running total 1699
Added 742; Current median 4308; running total 6007
Added 5124; Current median 4312; running total 319
Added 9295; Current median 4312; running total 4631
Added 6216; Current median 4315; running total 8946
Added 4572; Current median 4315; running total 3261
Added 937; Current median 4315; running total 7576
Added 826; Current median 4312; running total 1888
Added 2137; Current median 4312; running total 6200
Added 3751; Current median 4308; running total 508
Added 1917; Current median 4308; running total 4816
Added 3085; Current median 4292; running total 9108
Added 156; Current median 4292; running total 3400
Added 3029; Current median 4289; running total 7689
Added 4972; Current median 4292; running total 1981
Added 2281; Current median 4289; running total 6270
Added 7804; Current median 4292; running total 562
Added 4275; Current median 4289; running total 4851
Added 2937; Current median 4289; running total 9140
Added 9090; Current median 4289; running total 3429
